ZCTA5,LANDSQMT,WATERSQMT,LANDSQMI,WATERSQMI,POPULATION,HSGUNITS,INTPTLAT,INTPTLON,Total Area in Sq Mi,Lat-top,Long-left,Lat-bottom,Long-right
00601,166659789,799296,64.35,0.31,"18,570","7,744",18.180556,-66.749961,64.66,18.238824,-66.805320,18.122288,-66.694602
00602,79288158,4446273,30.61,1.72,"41,520","18,073",18.362268,-67.176130,32.33,18.403471,-67.215235,18.321065,-67.137025
00603,81880442,183425,31.61,0.07,"54,689","25,653",18.455183,-67.119887,31.69,18.495972,-67.158579,18.414394,-67.081195
00606,109580061,12487,42.31,0.00,"6,615","2,877",18.158345,-66.932911,42.31,18.205482,-66.977701,18.111208,-66.888121
00610,93021467,4172001,35.92,1.61,"29,016","12,618",18.290955,-67.125868,37.53,18.335346,-67.168016,18.246564,-67.083720
00612,175106243,9809163,67.61,3.79,"67,010","30,992",18.402239,-66.711400,71.40,18.463468,-66.769498,18.341010,-66.653302
00616,29870473,149147,11.53,0.06,"11,017","4,896",18.420413,-66.671979,11.59,18.445083,-66.695385,18.395743,-66.648573
00617,39347158,3987969,15.19,1.54,"24,597","10,594",18.445146,-66.559696,16.73,18.474787,-66.587814,18.415505,-66.531578
00622,75077028,1694917,28.99,0.65,"7,853","8,714",17.991245,-67.153993,29.64,18.030697,-67.191516,17.951793,-67.116470
00623,98367847,1633540,37.98,0.63,"43,061","21,426",18.083435,-67.153877,38.61,18.128462,-67.196680,18.038408,-67.111074
00624,111791516,2524878,43.16,0.97,"26,241","9,905",18.063275,-66.715966,44.14,18.111417,-66.761736,18.015133,-66.670196
00627,120058334,3507026,46.35,1.35,"35,159","14,431",18.415030,-66.861879,47.71,18.465082,-66.909368,18.364978,-66.814390
00631,10414662,669970,4.02,0.26,"1,852",842,18.190607,-66.832041,4.28,18.205598,-66.846283,18.175616,-66.817799
00637,89226022,25323,34.45,0.01,"25,287","10,962",18.076713,-66.947389,34.46,18.119251,-66.987828,18.034175,-66.906950
00638,171055117,493335,66.04,0.19,"18,941","7,805",18.291088,-66.513306,66.24,18.350063,-66.569301,18.232113,-66.457311
00641,242237480,3466212,93.53,1.34,"31,191","13,358",18.262962,-66.714020,94.87,18.333541,-66.781044,18.192383,-66.646996
00646,53611823,3321248,20.70,1.28,"38,199","16,699",18.433167,-66.285941,21.98,18.467142,-66.318172,18.399192,-66.253710
00647,39379804,8013314,15.20,3.09,"6,172","3,482",17.963614,-66.947127,18.30,17.994612,-66.976614,17.932616,-66.917640
00650,79052810,557181,30.52,0.22,"14,998","6,124",18.349416,-66.578079,30.74,18.389591,-66.616211,18.309241,-66.539947
00652,17906137,16436,6.91,0.01,"4,715","1,947",18.451935,-66.603113,6.92,18.470997,-66.621195,18.432873,-66.585031
00653,39477273,5203941,15.24,2.01,"13,307","6,217",17.985452,-66.888933,17.25,18.015550,-66.917560,17.955354,-66.860306
00656,83968290,4356121,32.42,1.68,"21,481","8,680",18.053539,-66.792931,34.10,18.095856,-66.833164,18.011222,-66.752698
00659,108211415,3039180,41.78,1.17,"41,953","17,365",18.407221,-66.809008,42.95,18.454713,-66.854070,18.359729,-66.763946
00660,29380814,486,11.34,0.00,"17,250","7,783",18.134645,-67.116158,11.34,18.159052,-67.139352,18.110238,-67.092964
00662,114907988,5341043,44.37,2.06,"43,282","20,199",18.467481,-67.015974,46.43,18.516857,-67.062807,18.418105,-66.969141
00664,117897373,3405,45.52,0.00,"16,784","6,590",18.213419,-66.589613,45.52,18.262310,-66.636055,18.164528,-66.543171
00667,156201164,28264208,60.31,10.91,"25,968","12,508",18.003422,-67.035810,71.22,18.064577,-67.093970,17.942267,-66.977650
00669,159419203,168344,61.55,0.06,"29,744","12,458",18.270899,-66.866375,61.62,18.327781,-66.920389,18.214017,-66.812361
00670,118025360,357819,45.57,0.14,"9,807","3,973",18.236832,-66.990114,45.71,18.285823,-67.036644,18.187841,-66.943584
